image,condition,detector,edge_density,runtime_ms,iou_vs_proj3_canny
GOPR0475_frame_000180_rgb_anon.png,fog,sobel_p75,0.262238,43.217,0.1634
GOPR0475_frame_000180_rgb_anon.png,fog,sobel_p90,0.101502,43.217,0.3408
GOPR0475_frame_000180_rgb_anon.png,fog,project3_canny,0.043286,257.990,1.0000
GOPR0475_frame_000180_rgb_anon.png,fog,cv2_canny_75_200,0.019555,1.739,0.2525
GOPR0475_frame_000197_rgb_anon.png,fog,sobel_p75,0.251877,52.232,0.0797
GOPR0475_frame_000197_rgb_anon.png,fog,sobel_p90,0.109542,52.232,0.1797
GOPR0475_frame_000197_rgb_anon.png,fog,project3_canny,0.020158,281.888,1.0000
GOPR0475_frame_000197_rgb_anon.png,fog,cv2_canny_75_200,0.012912,1.340,0.2742
GOPR0475_frame_000203_rgb_anon.png,fog,sobel_p75,0.294083,50.272,0.0869
GOPR0475_frame_000203_rgb_anon.png,fog,sobel_p90,0.101585,50.272,0.2347
GOPR0475_frame_000203_rgb_anon.png,fog,project3_canny,0.025768,251.323,1.0000
GOPR0475_frame_000203_rgb_anon.png,fog,cv2_canny_75_200,0.013154,1.271,0.2067
GOPR0476_frame_000251_rgb_anon.png,fog,sobel_p75,0.267628,44.878,0.1960
GOPR0476_frame_000251_rgb_anon.png,fog,sobel_p90,0.104160,44.878,0.3514
GOPR0476_frame_000251_rgb_anon.png,fog,project3_canny,0.053161,240.056,1.0000
GOPR0476_frame_000251_rgb_anon.png,fog,cv2_canny_75_200,0.021218,1.651,0.1808
GOPR0476_frame_000264_rgb_anon.png,fog,sobel_p75,0.253706,52.363,0.2895
GOPR0476_frame_000264_rgb_anon.png,fog,sobel_p90,0.102121,52.363,0.3507
GOPR0476_frame_000264_rgb_anon.png,fog,project3_canny,0.077302,219.096,1.0000
GOPR0476_frame_000264_rgb_anon.png,fog,cv2_canny_75_200,0.047327,2.624,0.2478
GOPR0476_frame_000351_rgb_anon.png,fog,sobel_p75,0.266390,44.139,0.2472
GOPR0476_frame_000351_rgb_anon.png,fog,sobel_p90,0.103147,44.139,0.3608
GOPR0476_frame_000351_rgb_anon.png,fog,project3_canny,0.066816,232.408,1.0000
GOPR0476_frame_000351_rgb_anon.png,fog,cv2_canny_75_200,0.033759,1.638,0.2237
GOPR0476_frame_000389_rgb_anon.png,fog,sobel_p75,0.283365,46.393,0.1487
GOPR0476_frame_000389_rgb_anon.png,fog,sobel_p90,0.101114,46.393,0.3429
