detector,distortion,score_mean,score_std,n
sobel_p75,noisy,0.3019,0.0767,80
sobel_p75,blurred,0.5144,0.0530,80
sobel_p75,lowcontrast,0.8655,0.1049,80
canny_proj3,noisy,0.1643,0.0772,80
canny_proj3,blurred,0.2230,0.0583,80
canny_proj3,lowcontrast,0.9102,0.0216,80
canny_proj3_preblur,noisy,0.3187,0.0985,80
canny_proj3_preblur,blurred,0.2314,0.0631,80
canny_proj3_preblur,lowcontrast,0.8557,0.0310,80
texture_seg,noisy,0.7985,0.1214,80
texture_seg,blurred,0.7223,0.1364,80
texture_seg,lowcontrast,0.8038,0.1210,80
