image,condition,distortion,detector,score_iou_or_ari
GOPR0475_frame_000180_rgb_anon.png,fog,noisy,sobel_p75,0.2345
GOPR0475_frame_000180_rgb_anon.png,fog,noisy,canny_proj3,0.0918
GOPR0475_frame_000180_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.2188
GOPR0475_frame_000180_rgb_anon.png,fog,noisy,texture_seg,0.8716
GOPR0475_frame_000180_rgb_anon.png,fog,blurred,sobel_p75,0.5306
GOPR0475_frame_000180_rgb_anon.png,fog,blurred,canny_proj3,0.1764
GOPR0475_frame_000180_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.1810
GOPR0475_frame_000180_rgb_anon.png,fog,blurred,texture_seg,0.8133
GOPR0475_frame_000180_rgb_anon.png,fog,lowcontrast,sobel_p75,0.8672
GOPR0475_frame_000180_rgb_anon.png,fog,lowcontrast,canny_proj3,0.8912
GOPR0475_frame_000180_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8168
GOPR0475_frame_000180_rgb_anon.png,fog,lowcontrast,texture_seg,0.8004
GOPR0475_frame_000197_rgb_anon.png,fog,noisy,sobel_p75,0.2133
GOPR0475_frame_000197_rgb_anon.png,fog,noisy,canny_proj3,0.1623
GOPR0475_frame_000197_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.3220
GOPR0475_frame_000197_rgb_anon.png,fog,noisy,texture_seg,0.7810
GOPR0475_frame_000197_rgb_anon.png,fog,blurred,sobel_p75,0.4694
GOPR0475_frame_000197_rgb_anon.png,fog,blurred,canny_proj3,0.1430
GOPR0475_frame_000197_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.1619
GOPR0475_frame_000197_rgb_anon.png,fog,blurred,texture_seg,0.7694
GOPR0475_frame_000197_rgb_anon.png,fog,lowcontrast,sobel_p75,0.8059
GOPR0475_frame_000197_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9142
GOPR0475_frame_000197_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8618
GOPR0475_frame_000197_rgb_anon.png,fog,lowcontrast,texture_seg,0.5340
GOPR0475_frame_000203_rgb_anon.png,fog,noisy,sobel_p75,0.2152
GOPR0475_frame_000203_rgb_anon.png,fog,noisy,canny_proj3,0.0720
GOPR0475_frame_000203_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.2465
GOPR0475_frame_000203_rgb_anon.png,fog,noisy,texture_seg,0.6490
GOPR0475_frame_000203_rgb_anon.png,fog,blurred,sobel_p75,0.4779
