image,condition,distortion,detector,iou
GOPR0475_frame_000041_rgb_anon.png,fog,noisy,sobel_p75,0.3122
GOPR0475_frame_000041_rgb_anon.png,fog,noisy,canny_proj3,0.2360
GOPR0475_frame_000041_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.3773
GOPR0475_frame_000041_rgb_anon.png,fog,blurred,sobel_p75,0.5300
GOPR0475_frame_000041_rgb_anon.png,fog,blurred,canny_proj3,0.1381
GOPR0475_frame_000041_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.1517
GOPR0475_frame_000041_rgb_anon.png,fog,lowcontrast,sobel_p75,0.9346
GOPR0475_frame_000041_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9214
GOPR0475_frame_000041_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8715
GOPR0475_frame_000049_rgb_anon.png,fog,noisy,sobel_p75,0.2199
GOPR0475_frame_000049_rgb_anon.png,fog,noisy,canny_proj3,0.0719
GOPR0475_frame_000049_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.1982
GOPR0475_frame_000049_rgb_anon.png,fog,blurred,sobel_p75,0.4275
GOPR0475_frame_000049_rgb_anon.png,fog,blurred,canny_proj3,0.1358
GOPR0475_frame_000049_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.1573
GOPR0475_frame_000049_rgb_anon.png,fog,lowcontrast,sobel_p75,0.8428
GOPR0475_frame_000049_rgb_anon.png,fog,lowcontrast,canny_proj3,0.8990
GOPR0475_frame_000049_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8330
GOPR0475_frame_000096_rgb_anon.png,fog,noisy,sobel_p75,0.4237
GOPR0475_frame_000096_rgb_anon.png,fog,noisy,canny_proj3,0.4212
GOPR0475_frame_000096_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.5523
GOPR0475_frame_000096_rgb_anon.png,fog,blurred,sobel_p75,0.5613
GOPR0475_frame_000096_rgb_anon.png,fog,blurred,canny_proj3,0.2075
GOPR0475_frame_000096_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.2050
GOPR0475_frame_000096_rgb_anon.png,fog,lowcontrast,sobel_p75,0.9590
GOPR0475_frame_000096_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9507
GOPR0475_frame_000096_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.9168
GOPR0475_frame_000116_rgb_anon.png,fog,noisy,sobel_p75,0.2485
GOPR0475_frame_000116_rgb_anon.png,fog,noisy,canny_proj3,0.1784
GOPR0475_frame_000116_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.3356
GOPR0475_frame_000116_rgb_anon.png,fog,blurred,sobel_p75,0.5168
GOPR0475_frame_000116_rgb_anon.png,fog,blurred,canny_proj3,0.2366
GOPR0475_frame_000116_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.2448
GOPR0475_frame_000116_rgb_anon.png,fog,lowcontrast,sobel_p75,0.8927
GOPR0475_frame_000116_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9045
GOPR0475_frame_000116_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8541
GOPR0475_frame_000122_rgb_anon.png,fog,noisy,sobel_p75,0.2369
GOPR0475_frame_000122_rgb_anon.png,fog,noisy,canny_proj3,0.1031
GOPR0475_frame_000122_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.2994
GOPR0475_frame_000122_rgb_anon.png,fog,blurred,sobel_p75,0.4988
GOPR0475_frame_000122_rgb_anon.png,fog,blurred,canny_proj3,0.2126
GOPR0475_frame_000122_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.2146
GOPR0475_frame_000122_rgb_anon.png,fog,lowcontrast,sobel_p75,0.8492
GOPR0475_frame_000122_rgb_anon.png,fog,lowcontrast,canny_proj3,0.8925
GOPR0475_frame_000122_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8294
GOPR0475_frame_000128_rgb_anon.png,fog,noisy,sobel_p75,0.2204
GOPR0475_frame_000128_rgb_anon.png,fog,noisy,canny_proj3,0.0826
GOPR0475_frame_000128_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.2701
GOPR0475_frame_000128_rgb_anon.png,fog,blurred,sobel_p75,0.5273
GOPR0475_frame_000128_rgb_anon.png,fog,blurred,canny_proj3,0.2162
GOPR0475_frame_000128_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.2450
GOPR0475_frame_000128_rgb_anon.png,fog,lowcontrast,sobel_p75,0.8545
GOPR0475_frame_000128_rgb_anon.png,fog,lowcontrast,canny_proj3,0.8832
GOPR0475_frame_000128_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8394
GOPR0475_frame_000135_rgb_anon.png,fog,noisy,sobel_p75,0.3981
GOPR0475_frame_000135_rgb_anon.png,fog,noisy,canny_proj3,0.2616
GOPR0475_frame_000135_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.4315
GOPR0475_frame_000135_rgb_anon.png,fog,blurred,sobel_p75,0.5457
GOPR0475_frame_000135_rgb_anon.png,fog,blurred,canny_proj3,0.1844
GOPR0475_frame_000135_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.1835
GOPR0475_frame_000135_rgb_anon.png,fog,lowcontrast,sobel_p75,0.9530
GOPR0475_frame_000135_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9314
GOPR0475_frame_000135_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8864
GOPR0475_frame_000148_rgb_anon.png,fog,noisy,sobel_p75,0.2617
GOPR0475_frame_000148_rgb_anon.png,fog,noisy,canny_proj3,0.1130
GOPR0475_frame_000148_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.2266
GOPR0475_frame_000148_rgb_anon.png,fog,blurred,sobel_p75,0.5450
GOPR0475_frame_000148_rgb_anon.png,fog,blurred,canny_proj3,0.1894
GOPR0475_frame_000148_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.1984
GOPR0475_frame_000148_rgb_anon.png,fog,lowcontrast,sobel_p75,0.9002
GOPR0475_frame_000148_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9001
